episode:12,Updates:12/100,Timesteps:52000/400000,FPS:73.0,avg_sp:20.9,avg_xp_0_0:26.4,avg_xp_0_1:30.6,avg_xp_1_0:24.8,avg_xp_1_1:31.3,avg_xp_2_0:43.5,avg_xp_2_1:36.15,value_loss:1.2754219884673754,policy_loss:-0.03187294984865388,dist_entropy:6.176201852162679,actor_grad_norm:0.34274170994758607,critic_grad_norm:8.233793238798777,ratio:3.9990929126739503,best_i:1,average_step_rewards:0.10450000315904617
episode:13,Updates:13/100,Timesteps:56000/400000,FPS:75.0,avg_sp:23.9,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:34.75,avg_xp_2_1:36.65,value_loss:1.3913309852282205,policy_loss:-0.0175637227288821,dist_entropy:6.111831132570902,actor_grad_norm:0.35318488677342735,critic_grad_norm:12.31166680753231,ratio:3.9997629165649413,best_i:2,average_step_rewards:0.11949999630451202
episode:14,Updates:14/100,Timesteps:60000/400000,FPS:76.0,avg_sp:25.9,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:32.6,avg_xp_2_1:28.7,value_loss:1.2463182181119918,policy_loss:-0.016175627918906223,dist_entropy:6.006556153297424,actor_grad_norm:0.3788547396659851,critic_grad_norm:11.430815667907398,ratio:3.9980223099390666,best_i:2,average_step_rewards:0.12950000166893005
episode:15,Updates:15/100,Timesteps:64000/400000,FPS:73.0,avg_sp:21.65,avg_xp_0_0:39.15,avg_xp_0_1:27.2,avg_xp_1_0:23.3,avg_xp_1_1:25.05,avg_xp_2_0:22.25,avg_xp_2_1:20.3,value_loss:1.186476974685987,policy_loss:-0.009839343440001029,dist_entropy:5.903174829483032,actor_grad_norm:0.33938531080881756,critic_grad_norm:9.753544453779856,ratio:3.998194181919098,best_i:2,average_step_rewards:0.10824999958276749
episode:16,Updates:16/100,Timesteps:68000/400000,FPS:74.0,avg_sp:25.35,avg_xp_0_0:30.05,avg_xp_0_1:29.05,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:1.06600168744723,policy_loss:-0.027642913233023134,dist_entropy:5.951339769363403,actor_grad_norm:0.32382025917371116,critic_grad_norm:7.916386892398198,ratio:3.9951541384061175,best_i:0,average_step_rewards:0.12675000727176666
episode:17,Updates:17/100,Timesteps:72000/400000,FPS:75.0,avg_sp:27.2,avg_xp_0_0:29.5,avg_xp_0_1:29.05,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.9798016414046288,policy_loss:-0.03143959362624835,dist_entropy:5.906455826759339,actor_grad_norm:0.38793306748072304,critic_grad_norm:5.236772022644678,ratio:4.004386297861735,best_i:0,average_step_rewards:0.13600000739097595
episode:18,Updates:18/100,Timesteps:76000/400000,FPS:73.0,avg_sp:27.35,avg_xp_0_0:28.95,avg_xp_0_1:24.25,avg_xp_1_0:26.8,avg_xp_1_1:18.35,avg_xp_2_0:23.2,avg_xp_2_1:27.4,value_loss:0.9721745977799098,policy_loss:-0.020065959316973265,dist_entropy:5.776826842625936,actor_grad_norm:0.3185838798681895,critic_grad_norm:4.979819520314535,ratio:3.995973761876424,best_i:0,average_step_rewards:0.1367499977350235
episode:19,Updates:19/100,Timesteps:80000/400000,FPS:74.0,avg_sp:27.85,avg_xp_0_0:23.65,avg_xp_0_1:20.55,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.8842994555830955,policy_loss:-0.024369093189795965,dist_entropy:5.721537582079569,actor_grad_norm:0.3472930371761322,critic_grad_norm:5.4904753824075065,ratio:4.002458798885345,best_i:0,average_step_rewards:0.1392499953508377
episode:20,Updates:20/100,Timesteps:84000/400000,FPS:74.0,avg_sp:30.7,avg_xp_0_0:20.45,avg_xp_0_1:14.0,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.8980642467737198,policy_loss:-0.019587119536831357,dist_entropy:5.642414490381877,actor_grad_norm:0.35348245203495027,critic_grad_norm:5.772860048214595,ratio:4.003087830543518,best_i:0,average_step_rewards:0.1535000056028366
episode:21,Updates:21/100,Timesteps:88000/400000,FPS:72.0,avg_sp:37.45,avg_xp_0_0:20.25,avg_xp_0_1:12.1,avg_xp_1_0:22.55,avg_xp_1_1:21.25,avg_xp_2_0:29.65,avg_xp_2_1:21.85,value_loss:0.8532798498868942,policy_loss:-0.0004274646311610268,dist_entropy:5.600046722094218,actor_grad_norm:0.3196567893028259,critic_grad_norm:6.573964061339696,ratio:3.9985569079717,best_i:0,average_step_rewards:0.18725000321865082
episode:22,Updates:22/100,Timesteps:92000/400000,FPS:73.0,avg_sp:34.7,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:23.1,avg_xp_2_1:21.25,value_loss:1.194317215681076,policy_loss:0.0029044644829273676,dist_entropy:5.127121003468831,actor_grad_norm:0.3442256768544515,critic_grad_norm:9.680170847972233,ratio:3.9982081691424054,best_i:2,average_step_rewards:0.17350000143051147
episode:23,Updates:23/100,Timesteps:96000/400000,FPS:74.0,avg_sp:39.1,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:15.0,avg_xp_2_1:19.8,value_loss:1.0564237515131631,policy_loss:0.009327011364242447,dist_entropy:5.035789330800374,actor_grad_norm:0.32458121379216515,critic_grad_norm:6.370642753442128,ratio:3.998564326763153,best_i:2,average_step_rewards:0.19550000131130219
episode:24,Updates:24/100,Timesteps:100000/400000,FPS:72.0,avg_sp:39.2,avg_xp_0_0:17.3,avg_xp_0_1:15.15,avg_xp_1_0:27.2,avg_xp_1_1:4.05,avg_xp_2_0:13.7,avg_xp_2_1:16.0,value_loss:1.0500319689512252,policy_loss:0.020102658614772385,dist_entropy:4.904392639795939,actor_grad_norm:0.3396684487660726,critic_grad_norm:7.962765888373057,ratio:3.99562752644221,best_i:2,average_step_rewards:0.19599999487400055
episode:25,Updates:25/100,Timesteps:104000/400000,FPS:73.0,avg_sp:37.4,avg_xp_0_0:20.1,avg_xp_0_1:12.45,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.9996979395548503,policy_loss:0.013587527169620927,dist_entropy:5.297609273592631,actor_grad_norm:0.35492342909177144,critic_grad_norm:8.779857343435287,ratio:3.9928077697753905,best_i:0,average_step_rewards:0.18700000643730164
episode:26,Updates:26/100,Timesteps:108000/400000,FPS:74.0,avg_sp:40.1,avg_xp_0_0:21.8,avg_xp_0_1:10.6,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:1.03692623625199,policy_loss:0.005577220615457475,dist_entropy:5.2220631043116255,actor_grad_norm:0.32918655474980674,critic_grad_norm:8.351913128296534,ratio:3.9963695923487346,best_i:0,average_step_rewards:0.2004999965429306
episode:27,Updates:27/100,Timesteps:112000/400000,FPS:73.0,avg_sp:46.3,avg_xp_0_0:20.4,avg_xp_0_1:5.4,avg_xp_1_0:23.9,avg_xp_1_1:20.7,avg_xp_2_0:22.95,avg_xp_2_1:25.05,value_loss:1.186511662354072,policy_loss:0.011344800364024315,dist_entropy:5.212760599454244,actor_grad_norm:0.3623663822809855,critic_grad_norm:9.586320006847382,ratio:3.99857302904129,best_i:0,average_step_rewards:0.23149999976158142
