episode:12,Updates:12/100,Timesteps:52000/400000,FPS:65.0,avg_sp:17.85,avg_xp_0_0:36.5,avg_xp_0_1:30.4,avg_xp_1_0:24.75,avg_xp_1_1:35.65,avg_xp_2_0:36.8,avg_xp_2_1:32.85,avg_xp_3_0:22.35,avg_xp_3_1:24.75,value_loss:1.2730825657645861,policy_loss:-0.021395875320606866,dist_entropy:6.512489358584086,actor_grad_norm:0.3106643517812093,critic_grad_norm:10.113344689210257,ratio:3.9963565826416017,best_i:3,average_step_rewards:0.08924999833106995
episode:13,Updates:13/100,Timesteps:56000/400000,FPS:66.0,avg_sp:16.8,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:39.85,avg_xp_2_1:29.6,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:1.3655074395239353,policy_loss:-0.025600567488853563,dist_entropy:6.386783862113953,actor_grad_norm:0.30031763911247256,critic_grad_norm:10.363001249233882,ratio:3.9969685514767965,best_i:2,average_step_rewards:0.08399999886751175
episode:14,Updates:14/100,Timesteps:60000/400000,FPS:67.0,avg_sp:19.15,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:27.75,avg_xp_2_1:27.0,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:1.3060082832972209,policy_loss:-0.028284072086246097,dist_entropy:6.266822067896525,actor_grad_norm:0.3479952891667684,critic_grad_norm:8.156018277009329,ratio:3.999756228923798,best_i:2,average_step_rewards:0.09574999660253525
episode:15,Updates:15/100,Timesteps:64000/400000,FPS:68.0,avg_sp:20.65,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:23.2,avg_xp_2_1:28.8,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.8712003236015637,policy_loss:-0.026992772189855664,dist_entropy:6.190352193514506,actor_grad_norm:0.34858837525049846,critic_grad_norm:5.9729109585285185,ratio:4.002783064047495,best_i:2,average_step_rewards:0.10324999690055847
episode:16,Updates:16/100,Timesteps:68000/400000,FPS:64.0,avg_sp:20.45,avg_xp_0_0:36.75,avg_xp_0_1:43.25,avg_xp_1_0:23.35,avg_xp_1_1:29.6,avg_xp_2_0:24.9,avg_xp_2_1:23.4,avg_xp_3_0:21.45,avg_xp_3_1:16.7,value_loss:0.8199323703845341,policy_loss:-0.015710899363737565,dist_entropy:6.094756539662679,actor_grad_norm:0.3237962265809377,critic_grad_norm:5.729744670788447,ratio:3.9958409547805784,best_i:2,average_step_rewards:0.10225000232458115
episode:17,Updates:17/100,Timesteps:72000/400000,FPS:66.0,avg_sp:24.4,avg_xp_0_0:37.8,avg_xp_0_1:41.95,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:1.4913648429016273,policy_loss:-0.018977434738532365,dist_entropy:6.150131662686666,actor_grad_norm:0.36334166129430134,critic_grad_norm:10.85832309126854,ratio:4.001983487606049,best_i:0,average_step_rewards:0.12200000137090683
episode:18,Updates:18/100,Timesteps:76000/400000,FPS:67.0,avg_sp:25.8,avg_xp_0_0:36.95,avg_xp_0_1:39.0,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:1.4330500428875288,policy_loss:-0.01498071410544218,dist_entropy:6.110753075281779,actor_grad_norm:0.309539129336675,critic_grad_norm:9.725498217344285,ratio:3.9985781987508138,best_i:0,average_step_rewards:0.1289999932050705
episode:19,Updates:19/100,Timesteps:80000/400000,FPS:68.0,avg_sp:23.65,avg_xp_0_0:29.9,avg_xp_0_1:27.8,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:1.233565783003966,policy_loss:-0.01980784838247345,dist_entropy:5.982209881146749,actor_grad_norm:0.3188402742147446,critic_grad_norm:9.320163788398107,ratio:3.9962916453679402,best_i:0,average_step_rewards:0.11824999749660492
episode:20,Updates:20/100,Timesteps:84000/400000,FPS:65.0,avg_sp:26.0,avg_xp_0_0:37.7,avg_xp_0_1:22.85,avg_xp_1_0:20.6,avg_xp_1_1:36.4,avg_xp_2_0:28.05,avg_xp_2_1:21.75,avg_xp_3_0:18.35,avg_xp_3_1:21.9,value_loss:0.7947580243150393,policy_loss:-0.005851646043678433,dist_entropy:5.929935868581136,actor_grad_norm:0.31845217347145083,critic_grad_norm:6.656522367397944,ratio:3.9953019857406615,best_i:0,average_step_rewards:0.12999999523162842
episode:21,Updates:21/100,Timesteps:88000/400000,FPS:66.0,avg_sp:28.4,avg_xp_0_0:26.2,avg_xp_0_1:22.5,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.8422202145059904,policy_loss:-0.007174173457745986,dist_entropy:5.8042575518290205,actor_grad_norm:0.3244806408882141,critic_grad_norm:5.737505092223485,ratio:3.9969398895899455,best_i:0,average_step_rewards:0.1420000046491623
